Wordlist            Times               
armageddon          1                   
armed               132                 
arming              6                   
armoni              1                   
army                673                 
arnan               1                   
arni                1                   
arnon               24                  
arod                1                   
arodi               1                   
arodit              1                   
aroer               15                  
aroerite            1                   
arpachshad          9                   
arpad               6                   
arphaxad            1                   
arrow               78                  
arrowsnake          1                   
art                 66                  
artaxerx            14                  
artema              1                   
arubboth            1                   
arumah              2                   
arvad               2                   
arvadite            2                   
arza                1                   
as                  3350                
asa                 59                  
asahel              18                  
asaiah              8                   
asaph               37                  
asaph.&gt           8                   
asarel              1                   
asenath             3                   
ash-tree            1                   
ashan               4                   
asharelah           1                   
ashbea              1                   
ashbel              3                   
ashbelit            1                   
ashdod              19                  
ashdodit            2                   
asher               44                  
asherah             14                  
asherit             2                   
ashhur              1                   
ashima              1                   
ashkelon            12                  
ashkelonit          1                   
ashkenaz            3                   
ashnah              2                   
ashpenaz            1                   
ashtaroth           7                   
ashterathite        1                   
ashteroth-karnaim   1                   
ashtoreth           3                   
ashvath             1                   
asia                21                  
asiel               1                   
asnah               1                   
aspatha             1                   
asriel              2                   
asrielit            1                   
ass                 160                 
assassin            1                   
asshur              7                   
asshurim            1                   
assir               4                   
asso                2                   
assur               1                   
assyria             125                 
assyrian            18                  
astart              5                   
astarte             2                   
asyncritu           1                   
at                  1946                
at-tashheth         1                   
atad                2                   
atarah              1                   
ataroth             4                   
ataroth-addar       2                   
ater                5                   
atha                1                   
athach              1                   
athaiah             1                   
athaliah            17                  
atharim             1                   
athen               5                   
athenian            1                   
athlai              1                   
atroth-beth-joab    1                   
atroth-shophan      1                   
attack              158                 
attacked            25                  
attacker            56                  
attacking           57                  
attai               4                   
attalia             1                   
attempt             31                  
attempting          24                  
attention           176                 
attraction          3                   
augustan            1                   
augustu             1                   
authority           261                 
aven                2                   
avith               2                   
avva                1                   
avvim               3                   
avvit               1                   
awake               57                  
awakening           1                   
awaking             19                  
away                1890                
ax                  7                   
axe                 14                  
azaliah             3                   
azaniah             1                   
azarel              6                   
azariah             48                  
azaz                1                   
azazel              4                   
azaziah             3                   
azbuk               1                   
azekah              7                   
azel                6                   
azgad               4                   
aziel               1                   
aziza               1                   
azmaveth            8                   
azmon               3                   
aznoth-tabor        1                   
azor                2                   
azotu               1                   
azriel              3                   
azrikam             6                   
azubah              4                   
azzah               1                   
azzan               1                   
azzur               3                   
baal                83                  
baal-berith         2                   
baal-gad            3                   
baal-hamon          1                   
baal-hanan          5                   
baal-hazor          1                   
baal-hermon         2                   
baal-meon           3                   
baal-peor           5                   
baal-perazim        4                   
baal-shalishah      1                   
baal-tamar          1                   
baal-zebub          4                   
baal-zephon         3                   
baalah              5                   
baalath             3                   
baalath-beer        1                   
baalath-beer-ramah  1                   
baali               2                   
baana               3                   
baanah              9                   
baaseiah            1                   
baasha              26                  
babel               2                   
baby                17                  
babylon             291                 
babylonian          4                   
back                1447                
backbone            1                   
bad                 81                  
bad-humoured        1                   
badly               6                   
bag                 67                  
bagpipe             3                   
bahurim             7                   
bakbakkar           1                   
bakbuk              2                   
bakbukiah           3                   
balaam              63                  
baladan             2                   
balah               1                   
balak               43                  
balancing           3                   
ball                2                   
balsam-tre          1                   
bamah               1                   
bamoth              2                   
bamoth-baal         1                   
band                227                 
banded              11                  
banding             1                   
bani                16                  
bank                2                   
baptism             88                  
baptist             14                  
bar-jesu            1                   
bar-jonah           1                   
barabba             11                  
barachel            2                   
barachiah           1                   
barak               15                  
bariah              1                   
barko               2                   
barley              24                  
barnaba             28                  
barsabba            2                   
bartholomew         4                   
bartimaeu           1                   
baruch              25                  
barzillai           12                  
bas                 83                  
base                79                  
based               25                  
basemath            7                   
bashan              60                  
basic               1                   
basin               52                  
basing              4                   
basket              44                  
bat                 2                   
bath                15                  
bath-rabbim         1                   
bath-sheba          10                  
bath-sheba.&gt      1                   
bath-shua           2                   
bathed              19                  
bathing             5                   
bathing-place       1                   
bathshua            1                   
bavvai              1                   
bazlith             1                   
bazluth             1                   
bdellium            1                   
be                  9167                
bealiah             1                   
bealoth             1                   
bear                15                  
beast               382                 
beautiful           99                  
beautifully         2                   
bebai               6                   
became              478                 
because             1877                
becher              5                   
becherit            1                   
becom               53                  
become              416                 
becoming            12                  
becorath            1                   
bed                 132                 
bed-cover           1                   
bedad               2                   
bedan               1                   
bedeiah             1                   
bedroom             7                   
bee                 1                   
beeliada            1                   
beelzebub           4                   
